Sexo,Idade,Nível de Instrução,Provedor de Internet
Feminino,30,Superior,Provedor C
Masculino,18,Médio,Provedor B
Masculino,51,Superior,Provedor A
Feminino,35,Pós-graduação,Provedor A
Masculino,21,Médio,Provedor A
Feminino,20,Pós-graduação,Provedor B
Feminino,45,Fundamental,Provedor C
Masculino,49,Médio,Provedor C
Masculino,50,Superior,Provedor A
Feminino,34,Superior,Provedor A
Masculino,42,Médio,Provedor D
Feminino,46,Fundamental,Provedor C
Masculino,53,Pós-graduação,Provedor B
Masculino,45,Pós-graduação,Provedor C
Masculino,29,Fundamental,Provedor A
Masculino,25,Fundamental,Provedor B
Feminino,37,Médio,Provedor C
Feminino,31,Médio,Provedor C
Masculino,32,Superior,Provedor C
Feminino,31,Superior,Provedor A
Masculino,55,Superior,Provedor A
Feminino,39,Fundamental,Provedor B
Feminino,51,Médio,Provedor A
Feminino,39,Médio,Provedor B
Feminino,22,Superior,Provedor B
Feminino,18,Superior,Provedor C
Masculino,47,Médio,Provedor B
Feminino,19,Fundamental,Provedor C
Feminino,56,Médio,Provedor D
Feminino,36,Pós-graduação,Provedor A
Feminino,18,Médio,Provedor A
Masculino,59,Superior,Provedor D
Masculino,58,Pós-graduação,Provedor A
Masculino,41,Superior,Provedor C
Masculino,20,Fundamental,Provedor A
Masculino,55,Pós-graduação,Provedor B
Feminino,56,Médio,Provedor B
Masculino,24,Fundamental,Provedor C
Feminino,31,Superior,Provedor C
Masculino,34,Superior,Provedor D
