,Unnamed: 0,DATA INICIAL,DATA FINAL,REGIÃO,ESTADO,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,MARGEM MÉDIA REVENDA,COEF DE VARIAÇÃO REVENDA,PREÇO MÉDIO DISTRIBUIÇÃO,DESVIO PADRÃO DISTRIBUIÇÃO,PREÇO MÍNIMO DISTRIBUIÇÃO,PREÇO MÁXIMO DISTRIBUIÇÃO,COEF DE VARIAÇÃO DISTRIBUIÇÃO
0,9256,2004-05-09,2004-05-15,CENTRO OESTE,DISTRITO FEDERAL,GASOLINA COMUM,128,R$/l,2.029,0.0069999999999999,1.99,2.07,0.318,0.003,1.711,0.02,1.651,1.7427,0.012
1,9257,2004-05-09,2004-05-15,CENTRO OESTE,GOIAS,GASOLINA COMUM,395,R$/l,2.025,0.062,1.85,2.22,0.296,0.031,1.729,0.036,1.6643,1.915,0.021
2,9258,2004-05-09,2004-05-15,CENTRO OESTE,MATO GROSSO,GASOLINA COMUM,194,R$/l,2.358,0.066,2.0,2.54,0.472,0.0279999999999999,1.886,0.068,1.75,2.0713,0.036
3,9259,2004-05-09,2004-05-15,CENTRO OESTE,MATO GROSSO DO SUL,GASOLINA COMUM,166,R$/l,2.12,0.075,1.97,2.44,0.325,0.035,1.795,0.033,1.70701,1.9703,0.018
4,9260,2004-05-09,2004-05-15,NORDESTE,ALAGOAS,GASOLINA COMUM,106,R$/l,2.09,0.034,2.0,2.1590000000000003,0.35,0.016,1.74,0.042,1.6789,1.918,0.024
5,9261,2004-05-09,2004-05-15,NORDESTE,BAHIA,GASOLINA COMUM,482,R$/l,2.04,0.113,1.78,2.298,0.31,0.055,1.73,0.044,1.6134,1.8717,0.025
6,9262,2004-05-09,2004-05-15,NORDESTE,CEARA,GASOLINA COMUM,321,R$/l,2.148,0.08,1.93,2.34,0.344,0.037,1.804,0.034,1.715,1.937,0.019
7,9263,2004-05-09,2004-05-15,NORDESTE,MARANHAO,GASOLINA COMUM,189,R$/l,2.089,0.098,1.7,2.4,0.35,0.047,1.739,0.039,1.614,1.8793,0.022
8,9264,2004-05-09,2004-05-15,NORDESTE,PARAIBA,GASOLINA COMUM,146,R$/l,1.989,0.073,1.69,2.12,0.322,0.037,1.667,0.03,1.5855,1.7357,0.018
9,9265,2004-05-09,2004-05-15,NORDESTE,PERNAMBUCO,GASOLINA COMUM,478,R$/l,2.008,0.068,1.83,2.3,0.282,0.034,1.726,0.044,1.66,2.0351,0.025
10,9266,2004-05-09,2004-05-15,NORDESTE,PIAUI,GASOLINA COMUM,97,R$/l,2.099,0.074,1.98,2.22,0.36,0.035,1.739,0.031,1.67,1.815,0.018
11,9267,2004-05-09,2004-05-15,NORDESTE,RIO GRANDE DO NORTE,GASOLINA COMUM,145,R$/l,1.98,0.042,1.82,2.15,0.265,0.021,1.715,0.028,1.6577,1.7979,0.016
12,9268,2004-05-09,2004-05-15,NORDESTE,SERGIPE,GASOLINA COMUM,67,R$/l,1.968,0.045,1.88,2.082,0.234,0.023,1.734,0.029,1.6895,1.867,0.017
13,9269,2004-05-09,2004-05-15,NORTE,ACRE,GASOLINA COMUM,48,R$/l,2.388,0.166,1.85,2.85,0.545,0.07,1.843,0.035,1.765,1.8799,0.019
